Hourly Obs

Month/Year: 02/2010
Station Location: CONCORD MUNICIPAL AIRPORT (14745)
Lat: 43.195
Lon: -71.501
Elev: 346 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
14745,20100203,0651,11,SCT060 BKN075 OVC090, , 8.00, , , ,15, ,-9.4, ,14, ,-9.8, ,12, ,-11.1, , 88, , 0, ,000, , , ,29.69, ,6, ,006, ,30.08, ,AA, , , ,30.06, 
14745,20100203,0751,11,OVC055, , 5.00, ,BR, ,18, ,-7.8, ,17, ,-8.2, ,15, ,-9.4, , 88, , 0, ,000, , , ,29.69, , , , , ,30.08, ,AA, ,  T, ,30.06, 
14745,20100203,0828,11,FEW029 BKN036 OVC050, , 2.50, ,-SN BR, ,19, ,-7.0, ,18, ,-7.7, ,16, ,-9.0, , 88, , 0, ,000, , , ,29.69, , , , , ,M, ,SP, , , ,30.06, 
14745,20100203,0851,11,BKN037 OVC050, , 2.00, ,-SN BR, ,20, ,-6.7, ,19, ,-7.3, ,16, ,-8.9, , 84, , 0, ,000, , , ,29.70, , , , , ,30.08, ,AA, ,  T, ,30.07, 
14745,20100203,0902,11,BKN042 BKN050 OVC065, , 1.50, ,-SN BR, ,19, ,-7.0, ,18, ,-7.7, ,16, ,-9.0, , 88, , 0, ,000, , , ,29.70, , , , , ,M, ,SP, , , ,30.07, 
14745,20100203,0918,11,BKN050 OVC070, , 2.50, ,-SN BR, ,21, ,-6.0, ,20, ,-6.6, ,18, ,-8.0, , 88, , 0, ,000, , , ,29.70, , , , , ,M, ,SP, , , ,30.07, 
14745,20100203,0925,11,BKN060 OVC070, , 3.00, ,-SN BR, ,19, ,-7.0, ,18, ,-7.7, ,16, ,-9.0, , 88, , 0, ,000, , , ,29.70, , , , , ,M, ,SP, , , ,30.07, 
14745,20100203,0951,11,BKN055 OVC070, , 3.00, ,-SN, ,22, ,-5.6, ,20, ,-6.3, ,17, ,-8.3, , 81, , 0, ,000, , , ,29.69, ,8, ,001, ,30.07, ,AA, ,  T, ,30.06, 
14745,20100203,1051,11,SCT049 OVC060, , 6.00, ,HZ, ,26, ,-3.3, ,24, ,-4.4, ,20, ,-6.7, , 78, , 0, ,000, , , ,29.67, , , , , ,30.06, ,AA, ,  T, ,30.04, 
14745,20100203,1151,11,FEW033 BKN044 OVC060, ,10.00, , , ,29, ,-1.7, ,26, ,-3.4, ,19, ,-7.2, , 66, , 0, ,000, , , ,29.63, , , , , ,30.02, ,AA, , , ,30.00, 
14745,20100203,1251,11,FEW050, ,10.00, , , ,30, ,-1.1, ,26, ,-3.2, ,18, ,-7.8, , 61, , 3, ,VR , , , ,29.61, ,8, ,025, ,30.00, ,AA, , , ,29.98, 
14745,20100203,1351,11,FEW110, ,10.00, , , ,31, ,-0.6, ,27, ,-2.9, ,18, ,-7.8, , 59, , 7, ,280, , , ,29.58, , , , , ,29.96, ,AA, , , ,29.95, 
14745,20100203,1451,11,OVC032, ,10.00, , , ,31, ,-0.6, ,26, ,-3.0, ,17, ,-8.3, , 56, , 7, ,310, , , ,29.58, , , , , ,29.97, ,AA, , , ,29.95, 
14745,20100203,1551,11,OVC034, ,10.00, , , ,31, ,-0.6, ,26, ,-3.0, ,17, ,-8.3, , 56, , 3, ,320, , , ,29.58, ,6, ,010, ,29.97, ,AA, , , ,29.95, 
14745,20100203,1651,11,BKN038, ,10.00, , , ,29, ,-1.7, ,25, ,-3.8, ,17, ,-8.3, , 61, , 6, ,310, , , ,29.59, , , , , ,29.98, ,AA, , , ,29.96, 
14745,20100203,1751,11,OVC040, ,10.00, , , ,29, ,-1.7, ,25, ,-3.9, ,16, ,-8.9, , 58, , 0, ,000, , , ,29.60, , , , , ,29.99, ,AA, , , ,29.97, 
14745,20100203,1851,11,OVC040, ,10.00, , , ,27, ,-2.8, ,24, ,-4.5, ,17, ,-8.3, , 66, , 6, ,320, , , ,29.61, ,3, ,011, ,30.00, ,AA, , , ,29.98, 
14745,20100203,1951,11,SCT085, ,10.00, , , ,26, ,-3.3, ,23, ,-4.8, ,17, ,-8.3, , 69, , 0, ,000, , , ,29.62, , , , , ,30.00, ,AA, , , ,29.99, 
14745,20100203,2051,11,CLR, ,10.00, , , ,25, ,-3.9, ,23, ,-5.2, ,17, ,-8.3, , 72, , 6, ,300, , , ,29.63, , , , , ,30.02, ,AA, , , ,30.00, 
14745,20100203,2151,11,CLR, ,10.00, , , ,24, ,-4.4, ,22, ,-5.6, ,17, ,-8.3, , 75, , 7, ,310, , , ,29.65, ,3, ,011, ,30.03, ,AA, , , ,30.02, 
14745,20100203,2251,11,BKN095, ,10.00, , , ,22, ,-5.6, ,20, ,-6.5, ,16, ,-8.9, , 78, , 3, ,310, , , ,29.65, , , , , ,30.03, ,AA, , , ,30.02, 
14745,20100203,2351,11,FEW036, ,10.00, , , ,21, ,-6.1, ,20, ,-6.9, ,16, ,-8.9, , 81, , 0, ,000, , , ,29.65, , , , , ,30.04, ,AA, , , ,30.02, 
14745,20100204,0051,11,CLR, ,10.00, , , ,19, ,-7.2, ,18, ,-7.8, ,15, ,-9.4, , 84, , 0, ,000, , , ,29.66, ,3, ,003, ,30.04, ,AA, , , ,30.03, 
14745,20100204,0151,11,CLR, ,10.00, , , ,15, ,-9.4, ,14, ,-9.8, ,12, ,-11.1, , 88, , 0, ,000, , , ,29.67, , , , , ,30.05, ,AA, , , ,30.04, 
14745,20100204,0251,11,FEW027, , 8.00, , , ,14, ,-10.0, ,13, ,-10.5, ,10, ,-12.2, , 84, , 0, ,000, , , ,29.67, , , , , ,30.06, ,AA, , , ,30.04, 
14745,20100204,0351,11,CLR, ,10.00, , , ,13, ,-10.6, ,12, ,-10.8, ,11, ,-11.7, , 92, , 0, ,000, , , ,29.69, ,3, ,012, ,30.08, ,AA, , , ,30.06, 
14745,20100204,0451,11,FEW041, ,10.00, , , ,21, ,-6.1, ,19, ,-7.2, ,14, ,-10.0, , 74, ,10, ,310, , , ,29.71, , , , , ,30.10, ,AA, , , ,30.08, 
14745,20100204,0551,11,BKN038 OVC045, ,10.00, , , ,21, ,-6.1, ,18, ,-7.8, ,9, ,-12.8, , 60, ,14, ,330, ,28, ,29.75, , , , , ,30.14, ,AA, , , ,30.12, 
14745,20100204,0651,11,CLR, ,10.00, , , ,20, ,-6.7, ,16, ,-8.6, ,6, ,-14.4, , 54, ,15, ,320, ,30, ,29.77, ,3, ,027, ,30.16, ,AA, , , ,30.14, 
14745,20100204,0751,11,CLR, ,10.00, , , ,19, ,-7.2, ,15, ,-9.2, ,4, ,-15.6, , 52, ,20, ,350, ,30, ,29.80, , , , , ,30.19, ,AA, , , ,30.17, 
14745,20100204,0851,11,CLR, ,10.00, , , ,19, ,-7.2, ,15, ,-9.4, ,2, ,-16.7, , 47, ,21, ,320, ,25, ,29.83, , , , , ,30.22, ,AA, , , ,30.20, 
14745,20100204,0951,11,CLR, ,10.00, , , ,22, ,-5.6, ,17, ,-8.3, ,1, ,-17.2, , 40, ,17, ,310, ,22, ,29.85, ,1, ,027, ,30.24, ,AA, , , ,30.22, 
14745,20100204,1051,11,CLR, ,10.00, , , ,24, ,-4.4, ,18, ,-7.5, ,1, ,-17.2, , 37, ,17, ,310, ,24, ,29.85, , , , , ,30.25, ,AA, , , ,30.23, 
14745,20100204,1151,11,CLR, ,10.00, , , ,25, ,-3.9, ,19, ,-7.2, ,-0, ,-17.8, , 33, ,18, ,320, ,29, ,29.85, , , , , ,30.24, ,AA, , , ,30.22, 
14745,20100204,1251,11,CLR, ,10.00, , , ,26, ,-3.3, ,19, ,-7.0, ,-2, ,-18.9, , 29, ,20, ,320, ,25, ,29.81, ,8, ,015, ,30.19, ,AA, , , ,30.18, 
14745,20100204,1351,11,CLR, ,10.00, , , ,28, ,-2.2, ,21, ,-6.2, ,-2, ,-18.9, , 27, ,16, ,320, , , ,29.79, , , , , ,30.18, ,AA, , , ,30.16, 
14745,20100204,1451,11,CLR, ,10.00, , , ,28, ,-2.2, ,20, ,-6.5, ,-6, ,-21.1, , 22, ,17, ,300, ,25, ,29.78, , , , , ,30.17, ,AA, , , ,30.15, 
14745,20100204,1551,11,CLR, ,10.00, , , ,27, ,-2.8, ,20, ,-6.8, ,-5, ,-20.6, , 24, ,13, ,300, ,18, ,29.79, ,5, ,005, ,30.18, ,AA, , , ,30.16, 
14745,20100204,1651,11,CLR, ,10.00, , , ,25, ,-3.9, ,18, ,-7.5, ,-5, ,-20.6, , 26, , 8, ,310, , , ,29.81, , , , , ,30.20, ,AA, , , ,30.18, 
14745,20100204,1751,11,CLR, ,10.00, , , ,23, ,-5.0, ,17, ,-8.3, ,-5, ,-20.6, , 29, , 8, ,310, , , ,29.84, , , , , ,30.23, ,AA, , , ,30.21, 
14745,20100204,1851,11,CLR, ,10.00, , , ,22, ,-5.6, ,16, ,-8.7, ,-4, ,-20.0, , 31, , 6, ,280, , , ,29.85, ,1, ,020, ,30.24, ,AA, , , ,30.22, 
14745,20100204,1951,11,CLR, ,10.00, , , ,22, ,-5.6, ,16, ,-8.6, ,-3, ,-19.4, , 33, , 9, ,280, , , ,29.85, , , , , ,30.24, ,AA, , , ,30.23, 
14745,20100204,2051,11,CLR, ,10.00, , , ,22, ,-5.6, ,17, ,-8.4, ,-1, ,-18.3, , 36, , 9, ,280, , , ,29.87, , , , , ,30.25, ,AA, , , ,30.24, 
14745,20100204,2151,11,CLR, ,10.00, , , ,19, ,-7.2, ,15, ,-9.6, ,-1, ,-18.3, , 41, , 3, ,280, , , ,29.87, ,3, ,004, ,30.26, ,AA, , , ,30.24, 
14745,20100204,2251,11,CLR, ,10.00, , , ,20, ,-6.7, ,15, ,-9.2, ,-1, ,-18.3, , 39, , 5, ,280, , , ,29.85, , , , , ,30.24, ,AA, , , ,30.23, 
14745,20100204,2351,11,CLR, ,10.00, , , ,17, ,-8.3, ,13, ,-10.3, ,-0, ,-17.8, , 47, , 5, ,330, , , ,29.85, , , , , ,30.24, ,AA, , , ,30.22, 
14745,20100205,0051,11,CLR, ,10.00, , , ,18, ,-7.8, ,14, ,-10.0, ,-1, ,-18.3, , 43, , 0, ,000, , , ,29.84, ,8, ,010, ,30.22, ,AA, , , ,30.21, 
14745,20100205,0151,11,CLR, ,10.00, , , ,16, ,-8.9, ,12, ,-10.8, ,-1, ,-18.3, , 47, , 6, ,300, , , ,29.84, , , , , ,30.23, ,AA, , , ,30.21, 
14745,20100205,0251,11,CLR, ,10.00, , , ,13, ,-10.6, ,10, ,-12.0, ,-0, ,-17.8, , 56, , 0, ,000, , , ,29.83, , , , , ,30.22, ,AA, , , ,30.20, 
14745,20100205,0351,11,CLR, ,10.00, , , ,8, ,-13.3, ,7, ,-13.8, ,3, ,-16.1, , 80, , 0, ,000, , , ,29.83, ,8, ,001, ,30.22, ,AA, , , ,30.20, 
14745,20100205,0451,11,CLR, ,10.00, , , ,8, ,-13.3, ,6, ,-14.1, ,-0, ,-17.8, , 70, , 0, ,000, , , ,29.83, , , , , ,30.22, ,AA, , , ,30.20, 
14745,20100205,0551,11,CLR, ,10.00, , , ,7, ,-13.9, ,6, ,-14.7, ,-1, ,-18.3, , 69, , 0, ,000, , , ,29.82, , , , , ,30.21, ,AA, , , ,30.19, 
14745,20100205,0651,11,CLR, ,10.00, , , ,7, ,-13.9, ,6, ,-14.6, ,-0, ,-17.8, , 73, , 0, ,000, , , ,29.82, ,5, ,003, ,30.22, ,AA, , , ,30.19, 
14745,20100205,0751,11,CLR, ,10.00, , , ,11, ,-11.7, ,9, ,-12.5, ,4, ,-15.6, , 73, , 0, ,000, , , ,29.81, , , , , ,30.20, ,AA, , , ,30.18, 
14745,20100205,0851,11,CLR, ,10.00, , , ,20, ,-6.7, ,17, ,-8.5, ,7, ,-13.9, , 57, , 7, ,330, , , ,29.81, , , , , ,30.19, ,AA, , , ,30.18, 
14745,20100205,0951,11,CLR, ,10.00, , , ,25, ,-3.9, ,21, ,-6.2, ,10, ,-12.2, , 53, , 9, ,310, , , ,29.81, ,5, ,004, ,30.20, ,AA, , , ,30.18, 
14745,20100205,1051,11,CLR, ,10.00, , , ,28, ,-2.2, ,23, ,-4.9, ,11, ,-11.7, , 49, ,11, ,300, ,16, ,29.81, , , , , ,30.19, ,AA, , , ,30.18, 
14745,20100205,1151,11,FEW045, ,10.00, , , ,29, ,-1.7, ,23, ,-4.8, ,9, ,-12.8, , 43, ,16, ,300, ,22, ,29.78, , , , , ,30.16, ,AA, , , ,30.15, 
14745,20100205,1251,11,FEW048, ,10.00, , , ,30, ,-1.1, ,24, ,-4.6, ,8, ,-13.3, , 39, ,18, ,330, ,25, ,29.75, ,8, ,020, ,30.14, ,AA, , , ,30.12, 
14745,20100205,1351,11,FEW048, ,10.00, , , ,31, ,-0.6, ,24, ,-4.2, ,8, ,-13.3, , 38, ,16, ,310, ,21, ,29.74, , , , , ,30.13, ,AA, , , ,30.11, 
14745,20100205,1451,11,CLR, ,10.00, , , ,29, ,-1.7, ,23, ,-5.0, ,7, ,-13.9, , 39, ,16, ,320, ,25, ,29.73, , , , , ,30.12, ,AA, , , ,30.10, 
14745,20100205,1551,11,CLR, ,10.00, , , ,28, ,-2.2, ,22, ,-5.7, ,4, ,-15.6, , 36, , 9, ,310, ,20, ,29.74, ,5, ,003, ,30.13, ,AA, , , ,30.11, 
14745,20100205,1651,11,CLR, ,10.00, , , ,26, ,-3.3, ,20, ,-6.7, ,1, ,-17.2, , 34, ,13, ,310, ,25, ,29.75, , , , , ,30.14, ,AA, , , ,30.12, 
14745,20100205,1751,11,CLR, ,10.00, , , ,25, ,-3.9, ,19, ,-7.1, ,1, ,-17.2, , 35, , 8, ,280, , , ,29.75, , , , , ,30.14, ,AA, , , ,30.12, 
14745,20100205,1851,11,CLR, ,10.00, , , ,24, ,-4.4, ,18, ,-7.5, ,1, ,-17.2, , 37, ,14, ,320, ,17, ,29.73, ,8, ,003, ,30.12, ,AA, , , ,30.10, 
14745,20100205,1951,11,CLR, ,10.00, , , ,23, ,-5.0, ,17, ,-8.1, ,-2, ,-18.9, , 33, ,13, ,310, , , ,29.73, , , , , ,30.12, ,AA, , , ,30.10, 
14745,20100205,2051,11,CLR, ,10.00, , , ,22, ,-5.6, ,17, ,-8.5, ,-2, ,-18.9, , 35, ,10, ,310, , , ,29.72, , , , , ,30.11, ,AA, , , ,30.09, 
14745,20100205,2151,11,CLR, ,10.00, , , ,21, ,-6.1, ,16, ,-8.8, ,-0, ,-17.8, , 40, , 5, ,VR , , , ,29.72, ,6, ,006, ,30.10, ,AA, , , ,30.09, 
14745,20100205,2251,11,CLR, ,10.00, , , ,19, ,-7.2, ,15, ,-9.5, ,1, ,-17.2, , 45, ,14, ,330, ,23, ,29.70, , , , , ,30.09, ,AA, , , ,30.07, 
